SC048Q01NA,RATCMP2,treat,Female,ST013Q01,ST034Q01,BELONG,ST121Q01,ST118Q04,ST011Q06,ST011Q07,MISCED,HISCED,HOMEPOS,ESCS,W_FSTUWT,STRATUM,CNTSTUID,SCHID
-0.520229403,0.127552831,0,1,-0.286345131,0.002042159,-0.195992654,1.095547163,-1.625473906,-0.163774303,-1.265465085,0.873786663,0.750325924,-0.292767937,-0.215596192,2.374235943,24,3587,1
-0.520229403,0.127552831,0,0,-0.99503252,0.002042159,-0.542384207,1.095547163,0.586715906,-0.163774303,0.825530246,0.873786663,0.750325924,-0.904539845,0.37576615,1.828288271,24,4373,1
-0.520229403,0.127552831,0,0,0.422342259,1.175637335,0.460708,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,1.159509286,0.921835761,1.828288271,24,5322,1
-0.520229403,0.127552831,0,1,-1.70371991,-1.171553016,-1.000430908,-0.564163487,1.692810812,-0.163774303,0.825530246,-0.893792943,-0.28271487,-0.135892801,-0.240677651,2.374235943,24,7456,1
-0.520229403,0.127552831,0,1,-0.99503252,1.175637335,0.603634607,-0.564163487,1.692810812,-0.163774303,0.825530246,-0.01000314,0.750325924,-0.35948613,0.235626546,2.374235943,24,7509,1
-0.520229403,0.127552831,0,1,-0.286345131,1.175637335,1.080724825,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,1.35390698,1.30840678,2.374235943,24,8129,1
-0.520229403,0.127552831,0,0,1.839717038,-1.171553016,-0.842369716,1.095547163,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.58089276,0.778287027,1.828288271,24,9046,1
-0.520229403,0.127552831,0,0,0.422342259,0.002042159,-0.689720892,-0.564163487,-0.519379,-0.163774303,-1.265465085,-0.01000314,-0.28271487,1.387317478,-0.433171755,1.828288271,24,9428,1
-0.520229403,0.127552831,0,1,-1.70371991,1.175637335,0.808602989,1.095547163,-0.519379,-0.163774303,0.825530246,-0.01000314,-0.28271487,-1.02841569,-0.453017763,2.374235943,24,12183,1
-0.520229403,0.127552831,0,1,1.131029648,1.175637335,0.407285923,1.095547163,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.106155292,1.074759604,2.374235943,24,13152,1
-0.520229403,0.127552831,0,0,-0.99503252,0.002042159,-0.056072917,-0.564163487,0.586715906,-0.163774303,0.825530246,-0.893792943,-1.315755663,-0.620602018,-1.601407635,1.828288271,24,14924,1
-0.520229403,0.127552831,0,1,1.131029648,-1.171553016,-1.00644465,-0.564163487,1.692810812,-0.163774303,-1.265465085,0.873786663,0.750325924,1.898755093,1.419812286,2.374235943,24,16241,1
-0.520229403,0.127552831,0,1,-0.286345131,0.002042159,-0.33070048,-0.564163487,-0.519379,-0.163774303,0.825530246,0.873786663,0.750325924,0.337508247,0.362860157,2.374235943,24,17566,1
-0.520229403,0.127552831,0,0,-0.005587888,-0.001248465,-0.004103964,0.006261843,-0.001524954,0.00117577,0.003700613,-0.005284341,-0.006515863,-0.001082725,-0.006924403,1.828288271,24,17983,1
-0.520229403,0.127552831,0,0,1.839717038,1.175637335,0.914745539,-0.564163487,-1.625473906,-0.163774303,0.825530246,0.873786663,0.750325924,1.005820998,1.207228664,1.828288271,24,18080,1
-0.520229403,0.127552831,0,0,-1.70371991,1.175637335,1.172133707,-0.564163487,0.586715906,-0.163774303,0.825530246,-0.01000314,-0.28271487,-0.251955729,0.337778698,1.828288271,24,18670,1
-0.520229403,0.127552831,0,0,0.422342259,0.002042159,-0.195992654,-0.564163487,0.586715906,-0.163774303,-1.265465085,-0.893792943,0.750325924,0.719929941,0.806047088,1.828288271,24,19351,1
-0.520229403,0.127552831,0,0,0.422342259,0.002042159,-0.195992654,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.738384705,1.400331542,1.828288271,24,19649,1
-0.520229403,0.127552831,0,1,1.131029648,1.175637335,2.740317227,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,0.334424202,0.73883852,2.374235943,24,20341,1
-0.520229403,0.127552831,0,0,-0.99503252,1.175637335,0.344843232,1.095547163,-0.519379,-0.163774303,0.825530246,0.873786663,0.750325924,-0.052726363,0.117524534,1.828288271,24,21077,1
-0.520229403,0.127552831,0,1,-0.286345131,0.002042159,0.167738523,-0.564163487,-0.519379,-0.163774303,0.825530246,-0.01000314,-0.28271487,-0.730702457,-0.323470814,2.374235943,24,21925,1
-0.520229403,0.127552831,0,0,-0.005587888,-0.001248465,-0.004103964,0.006261843,-0.001524954,0.00117577,0.003700613,-0.005284341,-0.006515863,-0.001082725,-0.006924403,1.828288271,24,22459,1
-0.520229403,0.127552831,0,0,1.839717038,-2.345148191,-1.05535642,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.51910904,0.147476178,1.828288271,24,22921,1
-0.520229403,0.127552831,0,1,-0.286345131,0.002042159,1.212926926,-0.564163487,1.692810812,-0.163774303,0.825530246,-0.01000314,-0.28271487,0.424786747,-0.097250671,2.374235943,24,23229,1
-0.520229403,0.127552831,0,1,-0.286345131,0.002042159,-0.195992654,1.095547163,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,0.916794872,1.29428324,2.374235943,24,23475,1
-0.520229403,0.127552831,0,1,-0.286345131,0.002042159,0.167738523,-0.564163487,1.692810812,-0.163774303,0.825530246,0.873786663,0.750325924,0.149278645,0.859619135,2.374235943,24,24564,1
-0.520229403,0.127552831,0,0,-0.286345131,-1.171553016,-0.727707697,-0.564163487,-0.519379,-0.163774303,0.825530246,-0.01000314,-0.28271487,-0.086034059,0.208718768,1.828288271,24,24568,1
-0.520229403,0.127552831,0,1,-0.99503252,-1.171553016,-1.075702915,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,-0.027745591,0.254133253,2.374235943,24,25328,1
-0.520229403,0.127552831,0,0,-0.286345131,-1.171553016,-0.635697441,-0.564163487,0.586715906,-0.163774303,-1.265465085,-0.01000314,0.750325924,0.110111262,0.792167058,1.828288271,24,25620,1
-0.520229403,0.127552831,0,0,1.131029648,0.002042159,0.167738523,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.415587899,1.209420248,1.828288271,24,26088,1
-0.520229403,0.127552831,0,1,-0.286345131,0.002042159,-0.195992654,-0.564163487,0.586715906,6.30809031,0.825530246,-0.01000314,-0.28271487,-0.295543578,-0.310199557,2.374235943,24,27378,1
-0.520229403,0.127552831,0,0,1.839717038,1.175637335,0.460708,-0.564163487,1.692810812,-0.163774303,0.825530246,0.873786663,0.750325924,1.818055891,1.384625192,1.828288271,24,27415,1
-0.520229403,0.127552831,0,1,-0.286345131,-1.171553016,-0.583177425,-0.564163487,-0.519379,-0.163774303,-1.265465085,-0.01000314,-0.28271487,-0.506492319,0.151494082,2.374235943,24,28474,1
1.919673203,0.127552831,0,0,-1.70371991,0.002042159,-0.821922992,-0.564163487,0.586715906,-0.163774303,0.825530246,-0.01000314,-0.28271487,-1.429752865,-0.200011597,1.832104956,22,566,3
1.919673203,0.127552831,0,0,-1.70371991,1.175637335,0.518640383,-0.564163487,-1.625473906,-0.163774303,0.825530246,0.873786663,0.750325924,-1.20914078,-0.989590512,1.935473604,22,1365,3
1.919673203,0.127552831,0,0,-0.99503252,1.175637335,0.307558031,2.755257812,1.692810812,-0.163774303,-1.265465085,0.873786663,0.750325924,-0.538669198,0.560102692,1.832104956,22,2939,3
1.919673203,0.127552831,0,1,-0.286345131,0.002042159,-0.598211781,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,-0.253497752,0.810064991,1.879006028,22,5508,3
1.919673203,0.127552831,0,1,-1.70371991,1.175637335,2.740317227,-0.564163487,0.586715906,-0.163774303,0.825530246,-2.661372549,-3.381837251,-0.803074734,-1.801815792,1.997203435,22,6205,3
1.919673203,0.127552831,0,0,0.422342259,1.175637335,0.090461935,-0.564163487,-0.519379,-0.163774303,-1.265465085,-0.893792943,0.750325924,-1.052471248,0.135178958,1.935473604,22,7260,3
1.919673203,0.127552831,0,1,-1.70371991,1.175637335,2.363355817,4.414968462,0.586715906,6.30809031,0.825530246,-2.661372549,-3.381837251,-1.418753101,-2.4695183,1.879006028,22,9033,3
1.919673203,0.127552831,0,1,-1.70371991,1.175637335,0.686423792,-0.564163487,0.586715906,-0.163774303,0.825530246,-3.545162353,-4.414878045,-1.830062025,-2.414363443,1.879006028,22,9784,3
1.919673203,0.127552831,0,1,1.131029648,1.175637335,0.808602989,-0.564163487,0.586715906,-0.163774303,-1.265465085,-0.01000314,0.750325924,0.277780558,0.487780429,1.997203435,22,11343,3
1.919673203,0.127552831,0,1,-1.70371991,1.175637335,0.503906715,-0.564163487,-1.625473906,-0.163774303,0.825530246,-0.01000314,0.750325924,-1.021219582,0.148815479,1.879006028,22,13365,3
1.919673203,0.127552831,0,1,1.131029648,0.002042159,-1.102163381,-0.564163487,0.586715906,-0.163774303,0.825530246,0.873786663,0.750325924,0.151540279,0.810186746,1.879006028,22,13476,3
1.919673203,0.127552831,0,0,-1.70371991,-2.345148191,-1.557804585,4.414968462,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,-1.041060278,0.426172575,1.832104956,22,14561,3
1.919673203,0.127552831,0,0,0.422342259,0.002042159,-0.195992654,-0.564163487,-0.519379,-0.163774303,0.825530246,-0.893792943,-1.315755663,-1.243270888,-1.922718161,1.832104956,22,17690,3
1.919673203,0.127552831,0,1,0.422342259,1.175637335,1.707557225,-0.564163487,1.692810812,-0.163774303,0.825530246,0.873786663,0.750325924,-1.125768739,0.10327924,1.879006028,22,18742,3
1.919673203,0.127552831,0,0,0.422342259,1.175637335,0.872448885,1.095547163,1.692810812,-0.163774303,-1.265465085,0.873786663,0.750325924,-0.585032688,0.314645315,1.935473604,22,20616,3
1.919673203,0.127552831,0,0,-0.286345131,1.175637335,0.808602989,-0.564163487,0.586715906,-0.163774303,0.825530246,-0.893792943,-0.28271487,0.305948178,-0.209630215,1.832104956,22,21043,3
1.919673203,0.127552831,0,1,-1.70371991,1.175637335,1.544083665,-0.564163487,1.692810812,-0.163774303,0.825530246,-0.005284341,-0.006515863,-1.314203945,-0.68094247,1.997203435,22,21245,3
1.919673203,0.127552831,0,1,1.839717038,-2.345148191,-1.425201569,2.755257812,1.692810812,-0.163774303,0.825530246,0.873786663,0.750325924,-0.602920154,0.834050658,1.997203435,22,22610,3
1.919673203,0.127552831,0,0,-0.99503252,1.175637335,0.808602989,-0.564163487,-0.519379,-0.163774303,0.825530246,-0.01000314,0.750325924,-0.305001319,0.661889581,1.935473604,22,23661,3
1.919673203,0.127552831,0,0,-0.286345131,1.175637335,-0.059079788,1.095547163,-0.519379,-0.163774303,-1.265465085,-0.005284341,-0.006515863,-0.016231819,0.371870001,1.832104956,22,26062,3
1.919673203,0.127552831,0,1,-0.99503252,0.002042159,-0.195992654,-0.564163487,1.692810812,-0.163774303,0.825530246,-0.893792943,-1.315755663,-1.35892261,-1.922718161,1.997203435,22,26300,3
1.919673203,0.127552831,0,1,-0.286345131,1.175637335,1.109691017,-0.564163487,-0.519379,-0.163774303,-1.265465085,-0.01000314,-0.28271487,-0.045633057,-0.050496885,1.997203435,22,27083,3
1.919673203,0.127552831,0,0,-0.99503252,0.002042159,0.70847418,0.006261843,-0.519379,-0.163774303,0.825530246,-0.893792943,0.750325924,-0.482436761,-0.673393682,1.832104956,22,28181,3
1.919673203,0.127552831,0,0,-1.70371991,-2.345148191,-1.569130466,-0.564163487,1.692810812,-0.163774303,0.825530246,0.873786663,0.750325924,-1.951059427,-1.362890273,1.935473604,22,29256,3
1.919673203,0.127552831,0,0,-0.99503252,1.175637335,0.872448885,-0.564163487,1.692810812,-0.163774303,-1.265465085,-0.893792943,-0.28271487,0.206230693,-0.620065145,1.935473604,22,30709,3
1.919673203,0.127552831,0,0,-1.70371991,0.002042159,-0.360368275,0.006261843,-1.625473906,-0.163774303,0.825530246,-0.01000314,-0.28271487,-0.988425894,-0.008004512,1.935473604,22,30869,3
