"SC048Q01","RATCMP2","treat","Female","ST013Q01","ST034Q01","BELONG","ST121Q01","ST118Q04","ST011Q06","ST011Q07","MISCED","HISCED","HOMEPOS","ESCS","W_FSTUWT","STRATUM","CNTSTUID","SCHID"
-0.153349498,0.127552831,0,1,-0.99503252,-1.171553016,-1.000430908,-0.564163487,0.586715906,-0.163774303,0.825530246,0.873786663,0.750325924,-0.332243724,0.448697186,0.216916498,39,28157,534
2.047929931,0.127552831,0,1,1.839717038,0.002042159,-0.593400787,1.095547163,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.141107812,1.064775722,0.151966155,28,1129,811
-0.703669356,0.127552831,0,1,-0.286345131,0.002042159,-0.903108513,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,0.94013082,0.650322889,0.945642411,44,27191,234
-0.813733327,0.127552831,1,0,-0.286345131,0.002042159,0.167738523,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,0.745527522,0.943021071,1.647826249,22,21375,329
-0.520229403,0.127552831,1,0,0.422342259,-2.345148191,-1.05535642,1.095547163,-0.519379,-0.163774303,0.825530246,-0.01000314,-0.28271487,0.879169512,0.528202973,0.216839173,32,14997,711
-0.153349498,0.127552831,0,0,1.131029648,0.002042159,0.323494447,-0.564163487,-0.519379,-0.163774303,0.825530246,0.873786663,0.750325924,0.57004531,0.765989808,0.624626512,32,27247,841
-0.630293375,0.127552831,0,1,-0.286345131,0.002042159,-0.452679218,-0.564163487,0.586715906,-0.163774303,0.825530246,-0.893792943,0.750325924,0.617848021,0.529907538,1.027789676,44,11879,827
-0.153349498,0.127552831,0,0,1.131029648,1.175637335,1.172133707,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,1.338383949,0.723010416,0.441462234,32,12053,677
-0.593605384,0.127552831,0,0,-0.286345131,0.002042159,-0.195992654,-0.564163487,0.586715906,-0.163774303,-1.265465085,-0.893792943,-1.315755663,1.870073465,0.564485859,4.097364098,48,29654,431
-0.666981365,0.127552831,0,0,-0.99503252,0.002042159,-0.195992654,1.095547163,0.586715906,-0.163774303,0.825530246,0.873786663,0.750325924,-0.146070152,0.831615565,0.213013044,16,2551,60
