intercept,SC04Q01,RATCMP2,treat,Female,ST013Q01,ST034Q01,BELONG,ST121Q01,ST118Q04,ST011Q06,ST011Q07,MISCED,HISCED,HOMEPOS,ESCS
0.0006558,0.0000544,-0.0000668,-0.0004811,-0.0001669,0.0000038,0.0000508,-0.0000515,-0.0000044,0.0000021,-0.0000016,0.0000071,-0.0000458,0.0000369,-0.0000325,-0.0000064
0.0000544,0.0005442,0.0000696,-0.0001934,-0.0000907,0.0000213,-0.0000329,0.0000382,-0.0000074,0.0000159,-0.0000100,0.0000045,-0.0000173,-0.0000238,-0.0000373,0.0000641
-0.0000668,0.0000696,0.0009164,0.0000783,-0.0000186,-0.0000369,-0.0000070,0.0000184,-0.0000012,0.0000237,0.0000034,0.0000264,-0.0000727,0.0000807,0.0000186,0.0000086
-0.0004811,-0.0001934,0.0000783,0.0054265,-0.0001549,0.0000892,-0.0001891,0.0000939,0.0000520,0.0000857,-0.0000391,-0.0000371,0.0001178,-0.0000370,0.0000430,-0.0001128
-0.0001669,-0.0000907,-0.0000186,-0.0001549,0.0003401,-0.0000093,0.0000036,-0.0000043,0.0000091,-0.0000652,-0.0000014,0.0000124,0.0000112,-0.0000323,-0.0000187,0.0000556
0.0000038,0.0000213,-0.0000369,0.0000892,-0.0000093,0.0001553,0.0000003,0.0000088,-0.0000001,0.0000186,-0.0000071,0.0000204,-0.0000002,0.0000016,-0.0000384,-0.0000353
0.0000508,-0.0000329,-0.0000070,-0.0001891,0.0000036,0.0000003,0.0001767,-0.0001319,-0.0000017,0.0000037,-0.0000115,-0.0000179,-0.0000356,0.0000280,-0.0000119,-0.0000063
-0.0000515,0.0000382,0.0000184,0.0000939,-0.0000043,0.0000088,-0.0001319,0.0001908,0.0000067,0.0000276,0.0000052,0.0000266,0.0000187,-0.0000153,0.0000000,0.0000077
-0.0000044,-0.0000074,-0.0000012,0.0000520,0.0000091,-0.0000001,-0.0000017,0.0000067,0.0000931,-0.0000114,-0.0000071,0.0000123,0.0000115,0.0000101,0.0000089,-0.0000183
0.0000021,0.0000159,0.0000237,0.0000857,-0.0000652,0.0000186,0.0000037,0.0000276,-0.0000114,0.0001205,-0.0000061,0.0000144,-0.0000191,0.0000357,0.0000160,-0.0000233
-0.0000016,-0.0000100,0.0000034,-0.0000391,-0.0000014,-0.0000071,-0.0000115,0.0000052,-0.0000071,-0.0000061,0.0000981,-0.0000006,0.0000013,0.0000016,0.0000162,0.0000121
0.0000071,0.0000045,0.0000264,-0.0000371,0.0000124,0.0000204,-0.0000179,0.0000266,0.0000123,0.0000144,-0.0000006,0.0001287,0.0000189,0.0000000,0.0000403,0.0000003
-0.0000458,-0.0000173,-0.0000727,0.0001178,0.0000112,-0.0000002,-0.0000356,0.0000187,0.0000115,-0.0000191,0.0000013,0.0000189,0.0002221,-0.0001541,0.0000242,-0.0000301
0.0000369,-0.0000238,0.0000807,-0.0000370,-0.0000323,0.0000016,0.0000280,-0.0000153,0.0000101,0.0000357,0.0000016,0.0000000,-0.0001541,0.0003318,0.0000888,-0.0001851
-0.0000325,-0.0000373,0.0000186,0.0000430,-0.0000187,-0.0000384,-0.0000119,0.0000000,0.0000089,0.0000160,0.0000162,0.0000403,0.0000242,0.0000888,0.0002527,-0.0002005
-0.0000064,0.0000641,0.0000086,-0.0001128,0.0000556,-0.0000353,-0.0000063,0.0000077,-0.0000183,-0.0000233,0.0000121,0.0000003,-0.0000301,-0.0001851,-0.0002005,0.0003917
