"SCHID","Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","V1","CNTSTUID"
12400001,471.563,2,1,2,2,3,6,6,375,-0.6837,-0.4306,0.7944,10,15,10,2,23,0,1,12404373
12400001,521.102,2,1,1,4,4,6,6,600,0.3171,1.5772,1.2429,10,15,10,2,23,0,1,12405322
12400001,544.427,2,1,1,6,2,6,6,375,-0.983,1.9871,1.125,10,15,10,2,23,0,1,12409046
12400001,354.26,2,1,1,4,3,5,5,0,-0.8307,1.7988,0.13,10,15,10,2,23,0,1,12409428
12400001,497.931,2,1,2,2,3,4,4,350,-0.1985,-0.1544,-0.8295,10,15,10,2,23,0,1,12414924
12400001,540.77,2,1.14543119627261,0.160317295880241,6.14544462000825,5.21604598690071,5.23939090397679,5.07030486578113,249.247220882555,2.24862433960645,1.55158301010998,0.923784465714371,10,15,10,2,23,0,1,12417983
12400001,611.711,2,1,2,6,4,6,6,375,0.7701,1.4277,1.4773,10,15,10,2,23,0,1,12418080
12400001,491.827,2,1,2,1,4,5,5,400,1.0269,0.2042,0.7632,10,15,10,2,23,0,1,12418670
12400001,605.527,2,1,1,4,3,4,6,350,-0.3381,1.1496,1.1478,10,15,10,2,23,0,1,12419351
12400001,492.472,2,1,1,4,3,6,6,575,-0.3381,2.1403,1.6359,10,15,10,2,23,0,1,12419649
12400001,511.858,2,1,2,2,4,6,6,0,0.2015,0.398,0.5823,10,15,10,2,23,0,1,12421077
12400001,393.901,2,0.900935501225662,1.5965804397382,2.07578763502546,3.24093096900342,4.65674430804547,4.8012170296412,93.3925942772149,-0.471467914095734,0.770336994913703,0.662733877169987,10,15,10,2,23,0,1,12422459
12400001,588.922,2,1,1,6,1,6,6,400,-1.1955,1.927,0.6069,10,15,10,2,23,0,1,12422921
12400001,439.035,2,1,2,3,2,5,5,0,-0.8686,0.3656,0.6572,10,15,10,2,23,0,1,12424568
12400001,444.124,2,1,1,3,2,5,6,500,-0.7768,0.5564,1.1364,10,15,10,2,23,0,1,12425620
12400001,482.084,2,1,1,5,3,6,6,375,0.0248,1.8263,1.4791,10,15,10,2,23,0,1,12426088
12400001,569.56,2,1,2,6,4,6,6,350,0.3171,2.2178,1.623,10,15,10,2,23,0,1,12427415
12400001,574.473,1,1,1,3,3,6,6,350,-0.3381,0.1645,0.3087,10,15,10,2,23,0,1,12403587
12400001,332.328,1,1,2,1,2,4,5,300,-1.1407,0.3171,0.2881,10,15,10,2,23,0,1,12407456
12400001,467.66,1,1,2,2,4,5,6,600,0.4597,0.0996,0.6793,10,15,10,2,23,0,1,12407509
12400001,577.366,1,1,1,3,4,6,6,375,0.9357,1.7663,1.5604,10,15,10,2,23,0,1,12408129
12400001,434.782,1,1,2,1,4,5,5,0,0.6642,-0.5511,0.1137,10,15,10,2,23,0,1,12412183
12400001,560.759,1,1,1,5,4,6,6,350,0.2638,1.5253,1.3685,10,15,10,2,23,0,1,12413152
12400001,587.416,1,1,1,5,2,6,6,375,-1.1467,2.2963,1.6519,10,15,10,2,23,0,1,12416241
12400001,416.18,1,1,2,3,3,6,6,375,-0.4725,0.7776,0.7838,10,15,10,2,23,0,1,12417566
12400001,612.672,1,1,1,5,4,6,6,375,2.5915,0.7746,1.0926,10,15,10,2,23,0,1,12420341
12400001,471.999,1,1,2,3,3,5,5,0,0.0248,-0.2615,0.2201,10,15,10,2,23,0,1,12421925
12400001,447.806,1,1,2,3,3,5,5,0,1.0676,0.8625,0.4059,10,15,10,2,23,0,1,12423229
12400001,508.011,1,1,1,3,3,6,6,375,-0.3381,1.3411,1.5488,10,15,10,2,23,0,1,12423475
12400001,571.303,1,1,2,3,3,6,6,0,0.0248,0.5945,1.1918,10,15,10,2,23,0,1,12424564
12400001,493.017,1,1,1,2,2,6,6,525,-1.2158,0.4223,0.6945,10,15,10,2,23,0,1,12425328
12400001,450.926,1,2,2,3,3,5,5,375,-0.3381,0.1618,0.231,10,15,10,2,23,0,1,12427378
12400001,497.991,1,1,1,3,2,5,5,75,-0.7244,-0.0434,0.6102,10,15,10,2,23,0,1,12428474
12400003,470.041,2,1,2,1,3,5,5,225,-0.9626,-0.9415,0.3215,14.1264659767699,25,17.7916244860585,2,33,0,1,12400566
12400003,358.049,2,1,1,2,4,6,6,268.472435132326,0.1643,-0.0747,0.9458,14.1006534649913,25,17.7965209854443,2,33,0,1,12402939
12400003,431.692,2,1,1,1,1,6,6,390,-1.6968,-0.5634,0.8358,14.1133688166832,25,17.7976087859844,2,33,0,1,12414561
12400003,669.767,2,1,2,4,3,4,4,450,-0.3381,-0.7601,-1.0934,14.1028064140208,25,17.7742132150059,2,33,0,1,12417690
12400003,389.241,2,1,2,3,4,4,5,420,0.6642,0.7469,0.3136,14.1174111934735,25,17.7892128205826,2,33,0,1,12421043
12400003,396.448,2,1,1,3,4,4.46028740539477,4.97715212083856,225,-0.2015,0.4335,0.7912,14.1141664665235,25,17.7944113357796,2,33,0,1,12426062
12400003,336.55,2,1,2,2,3,4,6,600,0.5643,-0.02,-0.0673,14.1170225085118,25,17.7952575853757,2,33,0,1,12428181
12400003,514.19,1,1,1,3,3,6,6,480,-0.7394,0.2027,1.1511,14.1294760939934,25,17.7791344363174,2,33,0,1,12405508
12400003,406.334,1,2,2,1,4,2,2,450,2.2154,-0.9308,-1.5425,14.1141812150679,25,17.7898846907878,2,33,0,1,12409033
