"SCHID","Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","V1","W_FSTUWT","W_FSTURWT1","W_FSTURWT2","W_FSTURWT3","W_FSTURWT4","W_FSTURWT5","W_FSTURWT6","W_FSTURWT7","W_FSTURWT8","W_FSTURWT9","W_FSTURWT10","W_FSTURWT11","W_FSTURWT12","W_FSTURWT13","W_FSTURWT14","W_FSTURWT15","W_FSTURWT16","W_FSTURWT17","W_FSTURWT18","W_FSTURWT19","W_FSTURWT20","W_FSTURWT21","W_FSTURWT22","W_FSTURWT23","W_FSTURWT24","W_FSTURWT25","W_FSTURWT26","W_FSTURWT27","W_FSTURWT28","W_FSTURWT29","W_FSTURWT30","W_FSTURWT31","W_FSTURWT32","W_FSTURWT33","W_FSTURWT34","W_FSTURWT35","W_FSTURWT36","W_FSTURWT37","W_FSTURWT38","W_FSTURWT39","W_FSTURWT40","W_FSTURWT41","W_FSTURWT42","W_FSTURWT43","W_FSTURWT44","W_FSTURWT45","W_FSTURWT46","W_FSTURWT47","W_FSTURWT48","W_FSTURWT49","W_FSTURWT50","W_FSTURWT51","W_FSTURWT52","W_FSTURWT53","W_FSTURWT54","W_FSTURWT55","W_FSTURWT56","W_FSTURWT57","W_FSTURWT58","W_FSTURWT59","W_FSTURWT60","W_FSTURWT61","W_FSTURWT62","W_FSTURWT63","W_FSTURWT64","W_FSTURWT65","W_FSTURWT66","W_FSTURWT67","W_FSTURWT68","W_FSTURWT69","W_FSTURWT70","W_FSTURWT71","W_FSTURWT72","W_FSTURWT73","W_FSTURWT74","W_FSTURWT75","W_FSTURWT76","W_FSTURWT77","W_FSTURWT78","W_FSTURWT79","W_FSTURWT80","PV1MATH","PV2MATH","PV3MATH","PV4MATH","PV5MATH","PV6MATH","PV7MATH","PV8MATH","PV9MATH","PV10MATH","CNTSTUID"
84000001,489.353,2,1,2,3,3,4,4,300,-0.7346,-0.4169,-0.5747,8,17,19,2,18,1,1,680.967,947.46,909.6539,315.8563,356.8478,1113.554,870.7737,345.0671,415.8846,376.1853,324.3065,882.4283,394.2752,941.0742,453.6949,889.8522,1041.016,897.3505,998.0823,381.2076,366.0335,337.1211,347.887,887.3754,928.0686,396.1978,334.4738,969.4411,1172.614,1060.679,858.0897,338.1292,1000.71,367.3053,1127.219,317.8527,370.4099,320.9408,391.3733,1073.738,954.154,1192.208,1105.951,357.1268,336.2884,969.4503,868.2421,327.0165,363.7677,402.3504,369.8715,846.1972,317.245,802.1108,389.1566,885.6436,1062.264,892.4302,1013.006,408.8122,477.277,426.3968,451.8194,1005.909,888.2451,345.8789,329.4997,921.0977,1023.117,1131.633,960.403,319.3503,846.1381,298.8675,992.7864,314.7804,379.9221,317.5412,404.7333,1148.53,1164.102,489.353,543.718,550.088,466.358,533.282,475.401,441.092,512.437,471.93,486.22,84000625
84000001,468.466,2,1,1,5,1,6,6,225,-3.1297,1.4445,1.1136,8,17,19,2,18,1,1,680.967,947.46,909.6539,315.8563,356.8478,1113.554,870.7737,345.0671,415.8846,376.1853,324.3065,882.4283,394.2752,941.0742,453.6949,889.8522,1041.016,897.3505,998.0823,381.2076,366.0335,337.1211,347.887,887.3754,928.0686,396.1978,334.4738,969.4411,1172.614,1060.679,858.0897,338.1292,1000.71,367.3053,1127.219,317.8527,370.4099,320.9408,391.3733,1073.738,954.154,1192.208,1105.951,357.1268,336.2884,969.4503,868.2421,327.0165,363.7677,402.3504,369.8715,846.1972,317.245,802.1108,389.1566,885.6436,1062.264,892.4302,1013.006,408.8122,477.277,426.3968,451.8194,1005.909,888.2451,345.8789,329.4997,921.0977,1023.117,1131.633,960.403,319.3503,846.1381,298.8675,992.7864,314.7804,379.9221,317.5412,404.7333,1148.53,1164.102,468.466,416.839,432.802,413.565,482.648,473.256,411.373,443.42,422.049,440.849,84000788
84000001,646.53,2,1,1,3,3,6,6,225,0.3645,1.1482,1.1287,8,17,19,2,18,1,1,680.967,947.46,909.6539,315.8563,356.8478,1113.554,870.7737,345.0671,415.8846,376.1853,324.3065,882.4283,394.2752,941.0742,453.6949,889.8522,1041.016,897.3505,998.0823,381.2076,366.0335,337.1211,347.887,887.3754,928.0686,396.1978,334.4738,969.4411,1172.614,1060.679,858.0897,338.1292,1000.71,367.3053,1127.219,317.8527,370.4099,320.9408,391.3733,1073.738,954.154,1192.208,1105.951,357.1268,336.2884,969.4503,868.2421,327.0165,363.7677,402.3504,369.8715,846.1972,317.245,802.1108,389.1566,885.6436,1062.264,892.4302,1013.006,408.8122,477.277,426.3968,451.8194,1005.909,888.2451,345.8789,329.4997,921.0977,1023.117,1131.633,960.403,319.3503,846.1381,298.8675,992.7864,314.7804,379.9221,317.5412,404.7333,1148.53,1164.102,646.53,661.457,632.221,686.962,626.995,655.52,696.451,758.021,675.224,639.678,84001547
84000001,549.696,2,1,2,3,3,6,6,225,0.2947,-0.0122,0.2683,8,17,19,2,18,1,1,680.967,947.46,909.6539,315.8563,356.8478,1113.554,870.7737,345.0671,415.8846,376.1853,324.3065,882.4283,394.2752,941.0742,453.6949,889.8522,1041.016,897.3505,998.0823,381.2076,366.0335,337.1211,347.887,887.3754,928.0686,396.1978,334.4738,969.4411,1172.614,1060.679,858.0897,338.1292,1000.71,367.3053,1127.219,317.8527,370.4099,320.9408,391.3733,1073.738,954.154,1192.208,1105.951,357.1268,336.2884,969.4503,868.2421,327.0165,363.7677,402.3504,369.8715,846.1972,317.245,802.1108,389.1566,885.6436,1062.264,892.4302,1013.006,408.8122,477.277,426.3968,451.8194,1005.909,888.2451,345.8789,329.4997,921.0977,1023.117,1131.633,960.403,319.3503,846.1381,298.8675,992.7864,314.7804,379.9221,317.5412,404.7333,1148.53,1164.102,549.696,523.785,482.854,533.408,525.41,465.926,470.95,518.714,509.06,573.241,84001837
84000001,520.364,2,1,2,3,3,6,6,225,-0.3381,0.6038,0.9699,8,17,19,2,18,1,1,680.967,947.46,909.6539,315.8563,356.8478,1113.554,870.7737,345.0671,415.8846,376.1853,324.3065,882.4283,394.2752,941.0742,453.6949,889.8522,1041.016,897.3505,998.0823,381.2076,366.0335,337.1211,347.887,887.3754,928.0686,396.1978,334.4738,969.4411,1172.614,1060.679,858.0897,338.1292,1000.71,367.3053,1127.219,317.8527,370.4099,320.9408,391.3733,1073.738,954.154,1192.208,1105.951,357.1268,336.2884,969.4503,868.2421,327.0165,363.7677,402.3504,369.8715,846.1972,317.245,802.1108,389.1566,885.6436,1062.264,892.4302,1013.006,408.8122,477.277,426.3968,451.8194,1005.909,888.2451,345.8789,329.4997,921.0977,1023.117,1131.633,960.403,319.3503,846.1381,298.8675,992.7864,314.7804,379.9221,317.5412,404.7333,1148.53,1164.102,520.364,487.799,544.202,468.293,515.942,579.687,458.611,500.335,517.071,543.276,84001891
84000001,486.109,2,1,2,4,3,5,6,250,0.0248,-0.1363,0.6153,8,17,19,2,18,1,1,680.967,947.46,909.6539,315.8563,356.8478,1113.554,870.7737,345.0671,415.8846,376.1853,324.3065,882.4283,394.2752,941.0742,453.6949,889.8522,1041.016,897.3505,998.0823,381.2076,366.0335,337.1211,347.887,887.3754,928.0686,396.1978,334.4738,969.4411,1172.614,1060.679,858.0897,338.1292,1000.71,367.3053,1127.219,317.8527,370.4099,320.9408,391.3733,1073.738,954.154,1192.208,1105.951,357.1268,336.2884,969.4503,868.2421,327.0165,363.7677,402.3504,369.8715,846.1972,317.245,802.1108,389.1566,885.6436,1062.264,892.4302,1013.006,408.8122,477.277,426.3968,451.8194,1005.909,888.2451,345.8789,329.4997,921.0977,1023.117,1131.633,960.403,319.3503,846.1381,298.8675,992.7864,314.7804,379.9221,317.5412,404.7333,1148.53,1164.102,486.109,497.764,502.509,503.442,465.124,503.95,467.084,509.639,491.535,505.645,84002496
84000001,507.414,2,1,2,2,4,5,6,225,1.398,0.4764,0.9645,8,17,19,2,18,1,1,680.967,947.46,909.6539,315.8563,356.8478,1113.554,870.7737,345.0671,415.8846,376.1853,324.3065,882.4283,394.2752,941.0742,453.6949,889.8522,1041.016,897.3505,998.0823,381.2076,366.0335,337.1211,347.887,887.3754,928.0686,396.1978,334.4738,969.4411,1172.614,1060.679,858.0897,338.1292,1000.71,367.3053,1127.219,317.8527,370.4099,320.9408,391.3733,1073.738,954.154,1192.208,1105.951,357.1268,336.2884,969.4503,868.2421,327.0165,363.7677,402.3504,369.8715,846.1972,317.245,802.1108,389.1566,885.6436,1062.264,892.4302,1013.006,408.8122,477.277,426.3968,451.8194,1005.909,888.2451,345.8789,329.4997,921.0977,1023.117,1131.633,960.403,319.3503,846.1381,298.8675,992.7864,314.7804,379.9221,317.5412,404.7333,1148.53,1164.102,507.414,481.31,521.564,434.861,509.287,497.833,491.462,436.549,429.179,479.161,84002738
84000001,623.561,2,1,2,4,3,6,6,225,0.7333,0.8116,1.005,8,17,19,2,18,1,1,680.967,947.46,909.6539,315.8563,356.8478,1113.554,870.7737,345.0671,415.8846,376.1853,324.3065,882.4283,394.2752,941.0742,453.6949,889.8522,1041.016,897.3505,998.0823,381.2076,366.0335,337.1211,347.887,887.3754,928.0686,396.1978,334.4738,969.4411,1172.614,1060.679,858.0897,338.1292,1000.71,367.3053,1127.219,317.8527,370.4099,320.9408,391.3733,1073.738,954.154,1192.208,1105.951,357.1268,336.2884,969.4503,868.2421,327.0165,363.7677,402.3504,369.8715,846.1972,317.245,802.1108,389.1566,885.6436,1062.264,892.4302,1013.006,408.8122,477.277,426.3968,451.8194,1005.909,888.2451,345.8789,329.4997,921.0977,1023.117,1131.633,960.403,319.3503,846.1381,298.8675,992.7864,314.7804,379.9221,317.5412,404.7333,1148.53,1164.102,623.561,613.584,630.084,532.601,553.578,622.408,605.468,602.372,594.976,575.961,84003299
84000001,466.84,2,1,1,5,4,4,4,225,1.5043,-0.259,0.0413,8,17,19,2,18,1,1,680.967,947.46,909.6539,315.8563,356.8478,1113.554,870.7737,345.0671,415.8846,376.1853,324.3065,882.4283,394.2752,941.0742,453.6949,889.8522,1041.016,897.3505,998.0823,381.2076,366.0335,337.1211,347.887,887.3754,928.0686,396.1978,334.4738,969.4411,1172.614,1060.679,858.0897,338.1292,1000.71,367.3053,1127.219,317.8527,370.4099,320.9408,391.3733,1073.738,954.154,1192.208,1105.951,357.1268,336.2884,969.4503,868.2421,327.0165,363.7677,402.3504,369.8715,846.1972,317.245,802.1108,389.1566,885.6436,1062.264,892.4302,1013.006,408.8122,477.277,426.3968,451.8194,1005.909,888.2451,345.8789,329.4997,921.0977,1023.117,1131.633,960.403,319.3503,846.1381,298.8675,992.7864,314.7804,379.9221,317.5412,404.7333,1148.53,1164.102,466.84,456.436,447.766,462.118,408.286,462.845,437.949,468.309,447.456,474.944,84003481
84000001,431.239,2,1,1,4,2,6,6,447.504093579678,-0.983,-0.0951,1.0234,8,17,19,2,18,1,1,680.967,947.46,909.6539,315.8563,356.8478,1113.554,870.7737,345.0671,415.8846,376.1853,324.3065,882.4283,394.2752,941.0742,453.6949,889.8522,1041.016,897.3505,998.0823,381.2076,366.0335,337.1211,347.887,887.3754,928.0686,396.1978,334.4738,969.4411,1172.614,1060.679,858.0897,338.1292,1000.71,367.3053,1127.219,317.8527,370.4099,320.9408,391.3733,1073.738,954.154,1192.208,1105.951,357.1268,336.2884,969.4503,868.2421,327.0165,363.7677,402.3504,369.8715,846.1972,317.245,802.1108,389.1566,885.6436,1062.264,892.4302,1013.006,408.8122,477.277,426.3968,451.8194,1005.909,888.2451,345.8789,329.4997,921.0977,1023.117,1131.633,960.403,319.3503,846.1381,298.8675,992.7864,314.7804,379.9221,317.5412,404.7333,1148.53,1164.102,431.239,477.403,415.688,427.377,425.001,404.533,423.872,450.46,427.731,452.21,84003840
