"SCHID","Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","V1","CNTSTUID"
12400001,471.563,2,1,2,2,3,6,6,375,-0.6837,-0.4306,0.7944,10,15,10,2,23,0,1,12404373
12400001,521.102,2,1,1,4,4,6,6,600,0.3171,1.5772,1.2429,10,15,10,2,23,0,1,12405322
12400001,544.427,2,1,1,6,2,6,6,375,-0.983,1.9871,1.125,10,15,10,2,23,0,1,12409046
12400001,354.26,2,1,1,4,3,5,5,0,-0.8307,1.7988,0.13,10,15,10,2,23,0,1,12409428
12400001,497.931,2,1,2,2,3,4,4,350,-0.1985,-0.1544,-0.8295,10,15,10,2,23,0,1,12414924
12400001,540.77,2,1.18483824687791,1.40458783241228,3.7271891168032,2.83495230339549,4.40515684409002,4.18118677626822,605.963690180681,-0.560206398523996,0.00248924713991217,0.194234086852984,10,15,10,2,23,0,1,12417983
12400001,611.711,2,1,2,6,4,6,6,375,0.7701,1.4277,1.4773,10,15,10,2,23,0,1,12418080
12400001,491.827,2,1,2,1,4,5,5,400,1.0269,0.2042,0.7632,10,15,10,2,23,0,1,12418670
12400001,605.527,2,1,1,4,3,4,6,350,-0.3381,1.1496,1.1478,10,15,10,2,23,0,1,12419351
12400001,492.472,2,1,1,4,3,6,6,575,-0.3381,2.1403,1.6359,10,15,10,2,23,0,1,12419649
12400001,511.858,2,1,2,2,4,6,6,0,0.2015,0.398,0.5823,10,15,10,2,23,0,1,12421077
12400001,393.901,2,1.05471977491855,1.41079241354686,2.62724478738406,3.80525451624575,6.31672662765355,5.5411564066508,396.836790855231,0.619621860552456,-0.221600410089183,0.504382182033839,10,15,10,2,23,0,1,12422459
12400001,588.922,2,1,1,6,1,6,6,400,-1.1955,1.927,0.6069,10,15,10,2,23,0,1,12422921
12400001,439.035,2,1,2,3,2,5,5,0,-0.8686,0.3656,0.6572,10,15,10,2,23,0,1,12424568
12400001,444.124,2,1,1,3,2,5,6,500,-0.7768,0.5564,1.1364,10,15,10,2,23,0,1,12425620
12400001,482.084,2,1,1,5,3,6,6,375,0.0248,1.8263,1.4791,10,15,10,2,23,0,1,12426088
12400001,569.56,2,1,2,6,4,6,6,350,0.3171,2.2178,1.623,10,15,10,2,23,0,1,12427415
12400001,574.473,1,1,1,3,3,6,6,350,-0.3381,0.1645,0.3087,10,15,10,2,23,0,1,12403587
12400001,332.328,1,1,2,1,2,4,5,300,-1.1407,0.3171,0.2881,10,15,10,2,23,0,1,12407456
12400001,467.66,1,1,2,2,4,5,6,600,0.4597,0.0996,0.6793,10,15,10,2,23,0,1,12407509
12400001,577.366,1,1,1,3,4,6,6,375,0.9357,1.7663,1.5604,10,15,10,2,23,0,1,12408129
12400001,434.782,1,1,2,1,4,5,5,0,0.6642,-0.5511,0.1137,10,15,10,2,23,0,1,12412183
12400001,560.759,1,1,1,5,4,6,6,350,0.2638,1.5253,1.3685,10,15,10,2,23,0,1,12413152
12400001,587.416,1,1,1,5,2,6,6,375,-1.1467,2.2963,1.6519,10,15,10,2,23,0,1,12416241
12400001,416.18,1,1,2,3,3,6,6,375,-0.4725,0.7776,0.7838,10,15,10,2,23,0,1,12417566
12400001,612.672,1,1,1,5,4,6,6,375,2.5915,0.7746,1.0926,10,15,10,2,23,0,1,12420341
12400001,471.999,1,1,2,3,3,5,5,0,0.0248,-0.2615,0.2201,10,15,10,2,23,0,1,12421925
12400001,447.806,1,1,2,3,3,5,5,0,1.0676,0.8625,0.4059,10,15,10,2,23,0,1,12423229
12400001,508.011,1,1,1,3,3,6,6,375,-0.3381,1.3411,1.5488,10,15,10,2,23,0,1,12423475
12400001,571.303,1,1,2,3,3,6,6,0,0.0248,0.5945,1.1918,10,15,10,2,23,0,1,12424564
12400001,493.017,1,1,1,2,2,6,6,525,-1.2158,0.4223,0.6945,10,15,10,2,23,0,1,12425328
12400001,450.926,1,2,2,3,3,5,5,375,-0.3381,0.1618,0.231,10,15,10,2,23,0,1,12427378
12400001,497.991,1,1,1,3,2,5,5,75,-0.7244,-0.0434,0.6102,10,15,10,2,23,0,1,12428474
12400003,470.041,2,1,2,1,3,5,5,225,-0.9626,-0.9415,0.3215,30.8495022560061,25,21.9511479532066,2,33,0,1,12400566
12400003,358.049,2,1,1,2,4,6,6,351.642492315634,0.1643,-0.0747,0.9458,30.8422788528605,25,21.9520982050991,2,33,0,1,12402939
12400003,431.692,2,1,1,1,1,6,6,390,-1.6968,-0.5634,0.8358,30.8531532471374,25,21.9435641537979,2,33,0,1,12414561
12400003,669.767,2,1,2,4,3,4,4,450,-0.3381,-0.7601,-1.0934,30.8540333999162,25,21.9593996559717,2,33,0,1,12417690
12400003,389.241,2,1,2,3,4,4,5,420,0.6642,0.7469,0.3136,30.8449746163509,25,21.9730319689621,2,33,0,1,12421043
12400003,396.448,2,1,1,3,4,4.6624020833045,5.17540213047986,225,-0.2015,0.4335,0.7912,30.8475102063921,25,21.9473387698475,2,33,0,1,12426062
12400003,336.55,2,1,2,2,3,4,6,600,0.5643,-0.02,-0.0673,30.8373471619382,25,21.9696385799732,2,33,0,1,12428181
12400003,514.19,1,1,1,3,3,6,6,480,-0.7394,0.2027,1.1511,30.8499580663389,25,21.9536650620418,2,33,0,1,12405508
12400003,406.334,1,2,2,1,4,2,2,450,2.2154,-0.9308,-1.5425,30.855848086438,25,21.9393511459656,2,33,0,1,12409033
