"V1","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","Y","CNTSTUID","SCHID"
1,2,1,2,2,3,6,6,375,-0.6837,-0.4306,0.7944,10,15,10,2,23,0,471.563,12404373,12400001
1,2,1,1,4,4,6,6,600,0.3171,1.5772,1.2429,10,15,10,2,23,0,521.102,12405322,12400001
1,2,1,1,6,2,6,6,375,-0.983,1.9871,1.125,10,15,10,2,23,0,544.427,12409046,12400001
1,2,1,1,4,3,5,5,0,-0.8307,1.7988,0.13,10,15,10,2,23,0,354.26,12409428,12400001
1,2,1,2,2,3,4,4,350,-0.1985,-0.1544,-0.8295,10,15,10,2,23,0,497.931,12414924,12400001
1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,15,10,2,23,0,540.77,12417983,12400001
1,2,1,2,6,4,6,6,375,0.7701,1.4277,1.4773,10,15,10,2,23,0,611.711,12418080,12400001
1,2,1,2,1,4,5,5,400,1.0269,0.2042,0.7632,10,15,10,2,23,0,491.827,12418670,12400001
1,2,1,1,4,3,4,6,350,-0.3381,1.1496,1.1478,10,15,10,2,23,0,605.527,12419351,12400001
1,2,1,1,4,3,6,6,575,-0.3381,2.1403,1.6359,10,15,10,2,23,0,492.472,12419649,12400001
1,2,1,2,2,4,6,6,0,0.2015,0.398,0.5823,10,15,10,2,23,0,511.858,12421077,12400001
1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,15,10,2,23,0,393.901,12422459,12400001
1,2,1,1,6,1,6,6,400,-1.1955,1.927,0.6069,10,15,10,2,23,0,588.922,12422921,12400001
1,2,1,2,3,2,5,5,0,-0.8686,0.3656,0.6572,10,15,10,2,23,0,439.035,12424568,12400001
1,2,1,1,3,2,5,6,500,-0.7768,0.5564,1.1364,10,15,10,2,23,0,444.124,12425620,12400001
1,2,1,1,5,3,6,6,375,0.0248,1.8263,1.4791,10,15,10,2,23,0,482.084,12426088,12400001
1,2,1,2,6,4,6,6,350,0.3171,2.2178,1.623,10,15,10,2,23,0,569.56,12427415,12400001
1,1,1,1,3,3,6,6,350,-0.3381,0.1645,0.3087,10,15,10,2,23,0,574.473,12403587,12400001
1,1,1,2,1,2,4,5,300,-1.1407,0.3171,0.2881,10,15,10,2,23,0,332.328,12407456,12400001
1,1,1,2,2,4,5,6,600,0.4597,0.0996,0.6793,10,15,10,2,23,0,467.66,12407509,12400001
1,1,1,1,3,4,6,6,375,0.9357,1.7663,1.5604,10,15,10,2,23,0,577.366,12408129,12400001
1,1,1,2,1,4,5,5,0,0.6642,-0.5511,0.1137,10,15,10,2,23,0,434.782,12412183,12400001
1,1,1,1,5,4,6,6,350,0.2638,1.5253,1.3685,10,15,10,2,23,0,560.759,12413152,12400001
1,1,1,1,5,2,6,6,375,-1.1467,2.2963,1.6519,10,15,10,2,23,0,587.416,12416241,12400001
1,1,1,2,3,3,6,6,375,-0.4725,0.7776,0.7838,10,15,10,2,23,0,416.18,12417566,12400001
1,1,1,1,5,4,6,6,375,2.5915,0.7746,1.0926,10,15,10,2,23,0,612.672,12420341,12400001
1,1,1,2,3,3,5,5,0,0.0248,-0.2615,0.2201,10,15,10,2,23,0,471.999,12421925,12400001
1,1,1,2,3,3,5,5,0,1.0676,0.8625,0.4059,10,15,10,2,23,0,447.806,12423229,12400001
1,1,1,1,3,3,6,6,375,-0.3381,1.3411,1.5488,10,15,10,2,23,0,508.011,12423475,12400001
1,1,1,2,3,3,6,6,0,0.0248,0.5945,1.1918,10,15,10,2,23,0,571.303,12424564,12400001
1,1,1,1,2,2,6,6,525,-1.2158,0.4223,0.6945,10,15,10,2,23,0,493.017,12425328,12400001
1,1,2,2,3,3,5,5,375,-0.3381,0.1618,0.231,10,15,10,2,23,0,450.926,12427378,12400001
1,1,1,1,3,2,5,5,75,-0.7244,-0.0434,0.6102,10,15,10,2,23,0,497.991,12428474,12400001
1,2,1,2,1,3,5,5,225,-0.9626,-0.9415,0.3215,NA,25,NA,2,33,0,470.041,12400566,12400003
1,2,1,1,2,4,6,6,NA,0.1643,-0.0747,0.9458,NA,25,NA,2,33,0,358.049,12402939,12400003
1,2,1,1,1,1,6,6,390,-1.6968,-0.5634,0.8358,NA,25,NA,2,33,0,431.692,12414561,12400003
1,2,1,2,4,3,4,4,450,-0.3381,-0.7601,-1.0934,NA,25,NA,2,33,0,669.767,12417690,12400003
1,2,1,2,3,4,4,5,420,0.6642,0.7469,0.3136,NA,25,NA,2,33,0,389.241,12421043,12400003
1,2,1,1,3,4,NA,NA,225,-0.2015,0.4335,0.7912,NA,25,NA,2,33,0,396.448,12426062,12400003
1,2,1,2,2,3,4,6,600,0.5643,-0.02,-0.0673,NA,25,NA,2,33,0,336.55,12428181,12400003
1,1,1,1,3,3,6,6,480,-0.7394,0.2027,1.1511,NA,25,NA,2,33,0,514.19,12405508,12400003
1,1,2,2,1,4,2,2,450,2.2154,-0.9308,-1.5425,NA,25,NA,2,33,0,406.334,12409033,12400003
1,1,1,2,1,4,1,1,375,0.5423,-1.3309,-1.4972,NA,25,NA,2,33,0,498.466,12409784,12400003
1,1,1,2,1,4,5,6,450,0.3602,-0.5441,0.608,NA,25,NA,2,33,0,473.75,12413365,12400003
1,1,1,2,5,3,6,6,450,-1.2422,0.5967,1.1512,NA,25,NA,2,33,0,478.787,12413476,12400003
1,1,1,2,4,4,6,6,575,1.5611,-0.6458,0.5706,NA,25,NA,2,33,0,527.259,12418742,12400003
1,2,1,2,1,4,6,6,450,0.3749,-0.7269,-0.327,NA,25,NA,2,33,0,387.998,12401365,12400003
1,2,1,1,4,4,4,6,300,-0.0523,-0.5745,0.5968,NA,25,NA,2,33,0,628.074,12407260,12400003
1,2,1,1,4,4,6,6,300,0.7279,-0.1198,0.7442,NA,25,NA,2,33,0,596.624,12420616,12400003
1,2,1,2,2,4,5,6,225,0.6642,0.1526,1.0294,NA,25,NA,2,33,0,684.369,12423661,12400003
1,2,1,2,1,1,6,6,420,-1.7081,-1.4486,-0.6336,NA,25,NA,2,33,0,347.034,12429256,12400003
1,2,1,1,2,4,4,5,360,0.7279,0.6499,-0.0235,NA,25,NA,2,33,0,459.998,12430709,12400003
1,2,1,2,1,3,5,5,NA,-0.5021,-0.5122,0.4792,NA,25,NA,2,33,0,508.118,12430869,12400003
1,1,1,2,1,4,2,2,300,2.5915,-0.3319,-0.9941,NA,25,NA,2,33,0,522.161,12406205,12400003
1,1,1,1,5,4,5,6,450,0.6642,0.7195,0.8864,NA,25,NA,2,33,0,571.017,12411343,12400003
1,1,1,2,1,4,NA,NA,180,1.398,-0.8291,-0.0735,NA,25,NA,2,33,0,376.145,12421245,12400003
1,1,1,2,6,1,6,6,NA,-1.5645,-0.1372,1.1708,NA,25,NA,2,33,0,298.755,12422610,12400003
1,1,1,2,2,3,4,4,300,-0.3381,-0.8726,-1.0934,NA,25,NA,2,33,0,518.538,12426300,12400003
1,1,1,1,3,4,5,5,450,0.9646,0.4049,0.4443,NA,25,NA,2,33,0,612.396,12427083,12400003
1,1,1,1,3,4,6,6,300,0.9357,0.6444,0.3216,36,10,10,1,28,0,498.601,12400774,12400005
1,1,1,1,5,3,6,6,0,-0.866,0.4199,1.0863,36,10,10,1,28,0,595.652,12401984,12400005
1,1,1,1,3,2,5,5,65,-0.6981,1.1395,0.8176,36,10,10,1,28,0,354.044,12403043,12400005
1,1,1,2,3,2,6,6,325,-1.9063,-1.7824,0.1529,36,10,10,1,28,0,511.925,12405654,12400005
1,1,1,1,5,3,5,6,0,-0.3381,1.3973,1.4248,36,10,10,1,28,0,665.359,12407249,12400005
1,1,1,1,2,2,5,6,650,-1.1407,-0.0382,0.6493,36,10,10,1,28,0,540.978,12407624,12400005
1,1,1,2,2,1,6,6,225,-0.8186,-1.1804,0.2915,36,10,10,1,28,0,491.584,12411496,12400005
1,1,1,1,5,3,6,6,250,0.0979,1.6916,1.6776,36,10,10,1,28,0,483.06,12411646,12400005
1,1,1,2,2,4,6,6,0,0.3998,0.4651,1.3715,36,10,10,1,28,0,519.482,12413397,12400005
1,1,1,2,3,4,6,6,0,0.3171,0.0357,1.069,36,10,10,1,28,0,635.36,12415098,12400005
1,1,1,1,4,3,6,6,300,-0.3381,-0.3216,0.4418,36,10,10,1,28,0,492.3,12416904,12400005
1,1,1,2,1,2,4,4,325,-1.1407,-0.0963,-0.2369,36,10,10,1,28,0,429.539,12418186,12400005
1,1,1,1,4,2,6,6,0,-0.9414,0.764,1.502,36,10,10,1,28,0,525.159,12422216,12400005
1,1,1,1,5,2,6,6,110,-0.8616,1.2703,1.3988,36,10,10,1,28,0,557.565,12424992,12400005
1,1,1,1,6,3,6,6,325,-0.5753,1.3814,1.4603,36,10,10,1,28,0,518.524,12426618,12400005
1,1,1,1,6,4,4,6,0,2.6127,2.9802,1.118,36,10,10,1,28,0,545.841,12427630,12400005
1,1,1,1,5,3,4,6,0,0.0187,1.2775,1.1948,36,10,10,1,28,0,582.988,12428824,12400005
1,2,1,2,3,3,5,5,300,0.2947,-0.3126,0.5319,36,10,10,1,28,0,373.998,12400047,12400005
1,2,1,1,4,3,6,6,0,0.2947,0.6422,1.3746,36,10,10,1,28,0,499.343,12400064,12400005
1,2,1,1,3,3,6,6,300,-0.3381,2.2859,1.834,36,10,10,1,28,0,575.143,12400288,12400005
1,2,2,2,1,4,1,1,NA,-0.378,-0.7109,-2.779,36,10,10,1,28,0,384.131,12403231,12400005
1,2,1,1,2,4,5,6,0,2.5915,-0.0587,0.1665,36,10,10,1,28,0,497.512,12406173,12400005
1,2,1,2,3,4,5,5,325,0.7701,1.7242,1.0738,36,10,10,1,28,0,517.574,12407849,12400005
1,2,1,NA,5,3,6,6,325,-0.66,1.6333,1.4702,36,10,10,1,28,0,575.745,12408286,12400005
1,2,1,2,6,4,6,6,325,2.5915,1.1068,1.38,36,10,10,1,28,0,532.4,12409235,12400005
1,2,1,1,6,4,6,6,0,1.5043,1.6764,1.1761,36,10,10,1,28,0,603.147,12409802,12400005
1,2,1,1,6,3,6,6,325,-0.1144,0.9328,1.4814,36,10,10,1,28,0,606.258,12414597,12400005
1,2,1,1,5,1,6,6,0,-3.1297,3.2594,1.6132,36,10,10,1,28,0,551.481,12421300,12400005
1,2,1,2,2,4,6,6,375,1.398,-0.5595,0.7677,36,10,10,1,28,0,528.702,12425085,12400005
1,2,1,2,6,1,4,4,600,-1.1955,-1.6292,-0.7929,36,10,10,1,28,0,509.662,12426295,12400005
1,2,1,1,1,4,6,6,300,2.5915,0.5305,1.2302,36,10,10,1,28,0,443.382,12401290,12400005
1,1,2,2,4,2,6,6,425,-0.5917,-0.8015,-0.2195,3,3,20,1,33,0,281.719,12424235,12400006
1,1,1,2,2,3,4,5,350,-0.6239,-0.7383,0.3962,3,3,20,1,33,0,491.174,12429006,12400006
1,2,1,1,3,4,6,6,140,0.5073,0.0715,-0.0956,3,3,20,1,33,0,430.006,12400360,12400006
1,2,1,2,6,4,6,6,375,0.6642,0.0012,0.5604,3,3,20,1,33,0,570.873,12401230,12400006
1,2,1,1,4,4,4,4,490,0.0901,1.0272,-0.3746,3,3,20,1,33,0,594.415,12412200,12400006
1,2,1,1,3,4,5,5,500,1.5043,1.2644,1.2148,3,3,20,1,33,0,382.998,12413651,12400006
1,2,1,2,4,4,6,6,375,1.0269,1.0223,1.349,3,3,20,1,33,0,587.085,12415074,12400006
1,2,1,1,3,3,4,4,0,-1.0783,-0.1324,-0.9096,3,3,20,1,33,0,515.9,12426490,12400006
1,2,1,1,5,4,6,6,75,0.1282,2.2866,0.8287,3,3,20,1,33,0,535.262,12427048,12400006
1,2,1,2,3,2,6,6,425,-1.1407,-1.4447,0.215,3,3,20,1,33,0,461.047,12430066,12400006
1,1,1,1,5,3,4,6,325,-0.3381,1.2991,0.9134,3,3,20,1,33,0,559.265,12403075,12400006
1,1,1,1,5,2,6,6,0,-0.8482,0.4099,0.8759,3,3,20,1,33,0,557.383,12404052,12400006
1,1,1,2,2,3,4,4,350,-0.3381,0.4515,0.2817,3,3,20,1,33,0,422.699,12410470,12400006
1,1,1,2,4,1,6,6,NA,-0.9373,0.5357,1.4181,3,3,20,1,33,0,437.453,12410687,12400006
1,1,1,2,3,2,4,4,350,-1.3458,-0.3531,-0.8198,3,3,20,1,33,0,582.639,12410963,12400006
1,1,1,2,6,3,6,6,65,0.2418,1.3698,1.518,3,3,20,1,33,0,705.373,12411395,12400006
1,1,1,2,5,2,5,6,375,-1.391,0.9704,0.8233,3,3,20,1,33,0,502.833,12413484,12400006
1,1,1,1,3,2,4,4,425,-0.8003,-0.4799,-0.7425,3,3,20,1,33,0,578.733,12415721,12400006
1,1,1,1,3,4,5,6,400,0.3171,0.8772,0.2418,3,3,20,1,33,0,514.758,12418402,12400006
1,1,1,1,6,3,6,6,150,-0.9482,2.2454,1.6745,3,3,20,1,33,0,444.079,12423243,12400006
1,1,1,2,4,2,5,5,0,-1.1224,0.7885,0.9779,3,3,20,1,33,0,469.312,12423545,12400006
1,1,1,1,3,3,5,6,0,-0.1613,1.277,0.6367,3,3,20,1,33,0,575.141,12424308,12400006
1,1,1,2,1,2,4,5,375,-0.5917,-0.4964,-0.3002,3,3,20,1,33,0,382.73,12425137,12400006
1,2,1,2,1,3,5,5,300,-0.3381,-0.4651,0.3519,3,3,20,1,33,0,518.362,12400971,12400006
1,2,1,2,1,3,6,6,420,-0.5064,-0.99,0.6854,3,3,20,1,33,0,457.902,12403107,12400006
1,1,1,2,1,3,4,4,350,-0.3381,-0.2553,-0.6599,10,2,10,2,28,0,475.828,12406951,12400011
1,1,1,2,1,3,6,6,575,-0.3381,-0.1871,0.7805,10,2,10,2,28,0,378.941,12407563,12400011
1,1,1,1,3,3,6,6,375,-0.6671,0.6605,1.464,10,2,10,2,28,0,622.891,12408361,12400011
