"SCHID","Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","V1","CNTSTUID"
84000001,489.353,2,1,2,3,3,4,4,300,-0.7346,-0.4169,-0.5747,8,17,19,2,18,1,1,84000625
84000001,468.466,2,1,1,5,1,6,6,225,-3.1297,1.4445,1.1136,8,17,19,2,18,1,1,84000788
84000001,646.53,2,1,1,3,3,6,6,225,0.3645,1.1482,1.1287,8,17,19,2,18,1,1,84001547
84000001,549.696,2,1,2,3,3,6,6,225,0.2947,-0.0122,0.2683,8,17,19,2,18,1,1,84001837
84000001,520.364,2,1,2,3,3,6,6,225,-0.3381,0.6038,0.9699,8,17,19,2,18,1,1,84001891
84000001,486.109,2,1,2,4,3,5,6,250,0.0248,-0.1363,0.6153,8,17,19,2,18,1,1,84002496
84000001,507.414,2,1,2,2,4,5,6,225,1.398,0.4764,0.9645,8,17,19,2,18,1,1,84002738
84000001,623.561,2,1,2,4,3,6,6,225,0.7333,0.8116,1.005,8,17,19,2,18,1,1,84003299
84000001,466.84,2,1,1,5,4,4,4,225,1.5043,-0.259,0.0413,8,17,19,2,18,1,1,84003481
84000001,431.239,2,1,1,4,2,6,6,196.378111856119,-0.983,-0.0951,1.0234,8,17,19,2,18,1,1,84003840
84000001,504.407,2,1,1,5,2,6,6,200,0.0048,2.4301,1.7031,8,17,19,2,18,1,1,84004855
84000001,481.011,2,1,1,3,4,4,5,225,0.3171,0.0511,0.2337,8,17,19,2,18,1,1,84004903
84000001,565.37,2,1,2,3,2,6,6,250,-1.1407,0.006,0.7089,8,17,19,2,18,1,1,84004934
84000001,636.169,2,1,2,5,3,6,6,225,0.2947,0.9703,1.1873,8,17,19,2,18,1,1,84005244
84000001,349.382,2,1,2,4,4,6,6,315,1.5611,0.7499,1.0856,8,17,19,2,18,1,1,84005289
84000001,540.197,2,1,2,1,3,6,6,250,0.7333,0.2717,0.8066,8,17,19,2,18,1,1,84006009
84000001,544.635,2,1,1,6,3,4,6,225,-0.3381,1.2584,0.7972,8,17,19,2,18,1,1,84006899
84000001,747.374,2,1,1,5,3,6,6,225,0.2947,2.4143,1.8006,8,17,19,2,18,1,1,84006905
84000001,623.209,2,1,2,5,4,6,6,225,0.6642,0.3783,0.9491,8,17,19,2,18,1,1,84007772
84000001,437.347,2,1,2,4,3,4,4,225,-0.3381,0.468,-0.828,8,17,19,2,18,1,1,84008395
84000001,544.029,2,1,1,4,4,6,6,225,0.6642,1.8362,1.4435,8,17,19,2,18,1,1,84008699
84000001,525.473,1,1,2,4,3,6,6,225,-0.5064,0.2098,-0.1667,8,17,19,2,18,1,1,84000532
84000001,571.437,1,1,1,5,1,5,6,315,-2.032,1.629,1.4294,8,17,19,2,18,1,1,84001279
84000001,522.679,1,1,2,3,4,5,5,225,1.5611,0.1745,0.2378,8,17,19,2,18,1,1,84001664
84000001,577.287,1,1,1,5,2,6,6,225,-1.251,1.2068,1.1916,8,17,19,2,18,1,1,84003969
84000001,432.612,1,1,2,4,3,4,6,225,-0.3381,0.346,1.0405,8,17,19,2,18,1,1,84004175
84000001,572.238,1,1,1,6,3,6,6,225,-0.3381,0.7474,1.1054,8,17,19,2,18,1,1,84005284
84000001,441.869,1,1,1.569036880198,3,3,6,6,225,0.0248,1.9289,1.5189,8,17,19,2,18,1,1,84005746
84000001,547.346,1,1,2,4,4,6,6,225,1.5043,0.9537,1.2432,8,17,19,2,18,1,1,84006024
84000001,489.283,1,1,2,3,3,6,6,225,0.3791,1.4952,1.2149,8,17,19,2,18,1,1,84007720
84000001,475.379,1,1,2,2,3,4,4,225,-0.3381,-0.0988,-0.995,8,17,19,2,18,1,1,84007990
84000001,606.77,1,1,1,5,2,6,6,315,-0.654,1.8241,0.7572,8,17,19,2,18,1,1,84009004
84000001,502.7,1,1,2,2,3,4,4,225,-0.5753,-0.6155,-0.317,8,17,19,2,18,1,1,84009484
84000001,487.521,1,1,2,3,3,4,4,225,-0.4725,0.0144,-0.5815,8,17,19,2,18,1,1,84010771
84000001,500.688,1,1,1,4,4,6,6,315,1.398,1.472,1.2477,8,17,19,2,18,1,1,84010965
84000001,635.823,1,1,1,5,3,6,6,225,-0.3381,1.4692,1.3706,8,17,19,2,18,1,1,84011154
84000003,392.344,1,1.0246266983823,2.50017248711226,0.758988065265919,4.94916719271348,3.74931140675707,4.7767390329176,303.132471804391,2.56007427497342,-0.738462205074326,-0.176107319253999,20,9,45,2,28,0,1,84000037
84000003,391.089,1,1,2,1,3,6,6,225,-0.3381,0.7985,1.2068,20,9,45,2,28,0,1,84002069
84000003,568.339,1,1,1,2,3,5,5,225,-0.5942,0.2952,0.5921,20,9,45,2,28,0,1,84002801
84000003,525.732,1,1,2,1,4,4,4,225,2.5915,-0.083,0.2713,20,9,45,2,28,0,1,84003007
84000003,517.494,1,1,2,2,2,5,6,225,-1.1407,-0.107,0.7707,20,9,45,2,28,0,1,84003357
84000003,574.702,1,1,1,3,2,4,6,300,-1.0362,0.4264,1.1527,20,9,45,2,28,0,1,84003524
84000003,338.935,1,1,2,2,3,5,5,90,-0.4284,-1.1318,-0.6143,20,9,45,2,28,0,1,84003762
84000003,413.596,1,1,2,1,2,2,2,45,-0.96,-0.6025,-1.4012,20,9,45,2,28,0,1,84005128
84000003,436.571,1,1,1,1,3,6,6,225,-0.3381,0.6247,1.0603,20,9,45,2,28,0,1,84005541
84000003,482.53,1,1,2,3,4,4,4,225,0.7701,1.0899,0.1237,20,9,45,2,28,0,1,84006036
84000003,588.717,1,1,2,1,2,6,6,225,-0.8144,-0.3704,0.9956,20,9,45,2,28,0,1,84008272
84000003,497.741,1,1,2,4,3,6,6,225,-0.8444,0.719,0.7437,20,9,45,2,28,0,1,84011206
84000003,341.376,1,1,1,1,2,4,6,225,-1.0137,-1.5424,-0.6867,20,9,45,2,28,0,1,84011299
84000003,528.074,1,1,1,3,2,5,6,225,-0.8814,0.8975,1.1605,20,9,45,2,28,0,1,84002126
84000003,433.142,1,1,1,2,3,6,6,225,0.5643,0.9264,1.3365,20,9,45,2,28,0,1,84004739
84000003,424.588,2,1,2,2,3,2,2,225,-0.5064,0.3161,-0.8983,20,9,45,2,28,0,1,84000193
84000003,515.481,2,1,2,1,4,4,6,200,0.9357,-1.1648,-0.3826,20,9,45,2,28,0,1,84000862
84000003,471.04,2,1,2,1,2,4,4,225,-0.2511,0.623,-0.5645,20,9,45,2,28,0,1,84000983
84000003,344.809,2,1,1,2,3,6,6,225,0.1313,0.655,1.0301,20,9,45,2,28,0,1,84001423
84000003,483.539,2,1,2,2,4,4,4,225,0.4451,0.8717,0.0849,20,9,45,2,28,0,1,84002787
84000003,479.432,2,1,2,3,4,6,6,187.530431269074,0.7934,-0.281,0.3348,20,9,45,2,28,0,1,84002949
84000003,372.331,2,0.854877756084827,1.201608191263,4,3,4,4,225,-0.66,1.8609,0.779,20,9,45,2,28,0,1,84004037
84000003,558.523,2,1,1,4,3,4,6,225,-0.5753,-0.1464,0.6529,20,9,45,2,28,0,1,84005134
84000003,423.536,2,1,2,2,3,6,6,225,-0.3381,-1.081,-0.5171,20,9,45,2,28,0,1,84006262
84000003,651.564,2,1,2,4,4,4,4,225,0.1985,0.398,0.3447,20,9,45,2,28,0,1,84006703
84000003,436,2,1,1,3,4,2,4,225,-0.0621,0.936,-0.4494,20,9,45,2,28,0,1,84008646
84000003,455.695,2,1,2,3,3,4,4,166.651047952699,0.2947,0.6837,0.3464,20,9,45,2,28,0,1,84009982
84000003,514.983,2,1,1,3,1,6,6,225,-1.1955,-0.3896,0.9355,20,9,45,2,28,0,1,84010299
84000003,575.9,2,1,1,3,2,5,5,225,-0.9414,0.1495,-0.4533,20,9,45,2,28,0,1,84004978
84000003,379.501,2,1,2,1,3,1,1,45,-1.0036,-1.1987,-2.0893,20,9,45,2,28,0,1,84007562
84000003,401.895,2,1,2,5,4,6,6,225,-0.1291,0.1622,0.8903,20,9,45,2,28,0,1,84010770
84000004,460.984,1,1,2,3,3,6,6,90,-0.7577,0.2303,1.0187,48.5012353583797,10,90,1,28,0,1,84000138
