"V1","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","Y","CNTSTUID","SCHID"
1,2,1,2,3,3,4,4,300,-0.7346,-0.4169,-0.5747,8,17,19,2,18,1,489.353,84000625,84000001
1,2,1,1,5,1,6,6,225,-3.1297,1.4445,1.1136,8,17,19,2,18,1,468.466,84000788,84000001
1,2,1,1,3,3,6,6,225,0.3645,1.1482,1.1287,8,17,19,2,18,1,646.53,84001547,84000001
1,2,1,2,3,3,6,6,225,0.2947,-0.0122,0.2683,8,17,19,2,18,1,549.696,84001837,84000001
1,2,1,2,3,3,6,6,225,-0.3381,0.6038,0.9699,8,17,19,2,18,1,520.364,84001891,84000001
1,2,1,2,4,3,5,6,250,0.0248,-0.1363,0.6153,8,17,19,2,18,1,486.109,84002496,84000001
1,2,1,2,2,4,5,6,225,1.398,0.4764,0.9645,8,17,19,2,18,1,507.414,84002738,84000001
1,2,1,2,4,3,6,6,225,0.7333,0.8116,1.005,8,17,19,2,18,1,623.561,84003299,84000001
1,2,1,1,5,4,4,4,225,1.5043,-0.259,0.0413,8,17,19,2,18,1,466.84,84003481,84000001
1,2,1,1,4,2,6,6,NA,-0.983,-0.0951,1.0234,8,17,19,2,18,1,431.239,84003840,84000001
1,2,1,1,5,2,6,6,200,0.0048,2.4301,1.7031,8,17,19,2,18,1,504.407,84004855,84000001
1,2,1,1,3,4,4,5,225,0.3171,0.0511,0.2337,8,17,19,2,18,1,481.011,84004903,84000001
1,2,1,2,3,2,6,6,250,-1.1407,0.006,0.7089,8,17,19,2,18,1,565.37,84004934,84000001
1,2,1,2,5,3,6,6,225,0.2947,0.9703,1.1873,8,17,19,2,18,1,636.169,84005244,84000001
1,2,1,2,4,4,6,6,315,1.5611,0.7499,1.0856,8,17,19,2,18,1,349.382,84005289,84000001
1,2,1,2,1,3,6,6,250,0.7333,0.2717,0.8066,8,17,19,2,18,1,540.197,84006009,84000001
1,2,1,1,6,3,4,6,225,-0.3381,1.2584,0.7972,8,17,19,2,18,1,544.635,84006899,84000001
1,2,1,1,5,3,6,6,225,0.2947,2.4143,1.8006,8,17,19,2,18,1,747.374,84006905,84000001
1,2,1,2,5,4,6,6,225,0.6642,0.3783,0.9491,8,17,19,2,18,1,623.209,84007772,84000001
1,2,1,2,4,3,4,4,225,-0.3381,0.468,-0.828,8,17,19,2,18,1,437.347,84008395,84000001
1,2,1,1,4,4,6,6,225,0.6642,1.8362,1.4435,8,17,19,2,18,1,544.029,84008699,84000001
1,1,1,2,4,3,6,6,225,-0.5064,0.2098,-0.1667,8,17,19,2,18,1,525.473,84000532,84000001
1,1,1,1,5,1,5,6,315,-2.032,1.629,1.4294,8,17,19,2,18,1,571.437,84001279,84000001
1,1,1,2,3,4,5,5,225,1.5611,0.1745,0.2378,8,17,19,2,18,1,522.679,84001664,84000001
