"SCHID","Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","V1","W_FSTUWT","W_FSTURWT1","W_FSTURWT2","W_FSTURWT3","W_FSTURWT4","W_FSTURWT5","W_FSTURWT6","W_FSTURWT7","W_FSTURWT8","W_FSTURWT9","W_FSTURWT10","W_FSTURWT11","W_FSTURWT12","W_FSTURWT13","W_FSTURWT14","W_FSTURWT15","W_FSTURWT16","W_FSTURWT17","W_FSTURWT18","W_FSTURWT19","W_FSTURWT20","W_FSTURWT21","W_FSTURWT22","W_FSTURWT23","W_FSTURWT24","W_FSTURWT25","W_FSTURWT26","W_FSTURWT27","W_FSTURWT28","W_FSTURWT29","W_FSTURWT30","W_FSTURWT31","W_FSTURWT32","W_FSTURWT33","W_FSTURWT34","W_FSTURWT35","W_FSTURWT36","W_FSTURWT37","W_FSTURWT38","W_FSTURWT39","W_FSTURWT40","W_FSTURWT41","W_FSTURWT42","W_FSTURWT43","W_FSTURWT44","W_FSTURWT45","W_FSTURWT46","W_FSTURWT47","W_FSTURWT48","W_FSTURWT49","W_FSTURWT50","W_FSTURWT51","W_FSTURWT52","W_FSTURWT53","W_FSTURWT54","W_FSTURWT55","W_FSTURWT56","W_FSTURWT57","W_FSTURWT58","W_FSTURWT59","W_FSTURWT60","W_FSTURWT61","W_FSTURWT62","W_FSTURWT63","W_FSTURWT64","W_FSTURWT65","W_FSTURWT66","W_FSTURWT67","W_FSTURWT68","W_FSTURWT69","W_FSTURWT70","W_FSTURWT71","W_FSTURWT72","W_FSTURWT73","W_FSTURWT74","W_FSTURWT75","W_FSTURWT76","W_FSTURWT77","W_FSTURWT78","W_FSTURWT79","W_FSTURWT80","PV1MATH","PV2MATH","PV3MATH","PV4MATH","PV5MATH","PV6MATH","PV7MATH","PV8MATH","PV9MATH","PV10MATH","CNTSTUID"
12400106,480.939,1,1,1,4,3,6,6,150,-0.3011,1.9627,1.6739,25,8,4,1,28,1,1,22.95792,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,480.939,403.658,479.796,492.654,455.969,435.891,414.891,535.031,415.939,404.442,12400284
12400106,602.951,1,1,2,1,3,6,6,225,0.2947,0.0807,0.8376,25,8,4,1,28,1,1,22.95792,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,602.951,518.523,554.64,469.758,562.603,491.397,548.412,577.438,487.023,482.617,12401490
12400106,484.233,1,1,2,4,4,5,5,225,0.2669,1.399,1.2023,25,8,4,1,28,1,1,22.95792,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,484.233,462.706,488.211,434.737,504.316,471.037,482.511,467.603,446.21,448.216,12402166
12400106,544.858,1,1,1,3,2,6,6,225,-1.0301,0.0435,0.0387,25,8,4,1,28,1,1,22.95792,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,544.858,511.298,529.917,520.837,541.885,547.485,525.42,559.912,511.437,482.517,12405821
12400106,640.24,1,1,2,2,3,4,6,225,-0.5753,-0.7449,-0.0857,25,8,4,1,28,1,1,22.95792,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,640.24,587.856,692.283,676.503,658.76,641.091,638.707,615.837,601.266,539.059,12406609
12400106,563.796,1,1,2,4,2,4,6,210,-0.983,0.0675,0.9774,25,8,4,1,28,1,1,22.95792,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,563.796,536.727,532.087,503.48,538.49,529.587,543.125,548.956,545.712,538.226,12407634
12400106,489.147,1,1,2,2,3,6,6,225,-0.3381,0.2548,0.7156,25,8,4,1,28,1,1,22.95792,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,489.147,473.104,518.532,516.46,469.397,454.957,487.284,457.323,467.044,423.709,12409451
12400106,527.214,1,1,2,5,3,5,6,225,-0.0099,1.421,0.6483,25,8,4,1,28,1,1,22.95792,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,527.214,484.12,547.094,571.355,495.597,506.631,526.617,512.115,540.224,497.38,12410110
12400106,635.841,1,1,1,5,3,6,6,225,-0.3381,2.1295,1.074,25,8,4,1,28,1,1,22.95792,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,635.841,579.834,640.165,703.373,622.626,552.099,618.667,742.302,585.99,620.344,12411377
12400106,532.654,1,1,1,3,3,6,6,225,-0.4953,-0.0198,0.966,25,8,4,1,28,1,1,22.95792,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,11.28796,11.28796,11.28796,34.28099,34.66307,11.60987,34.30373,34.66307,11.60987,11.30338,34.28099,34.66307,34.68932,34.68932,11.60987,34.30373,11.58785,34.30373,11.58785,11.30338,532.654,490.748,515.99,519.422,586,493.165,588.491,552.716,524.189,500.933,12411897
